JL5-1	JL5-2	JL5-3	JL12-1	JL12-2	JL12-3	MADV1	MADV2	MADV3	MADC1	MADC2	MADC3	808-1	808-2	808-3	MD1-1	MD1-2	MD1-3	MD5-1	MD5-2	MD5-3	L438P_1	L438P_2	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	JL	Control_Fibro_1	Control_Fibro_2	Control_Fibro_3
ENSG00000004948	41.005	61	121	26	43	39.999	50	112	137	52	34	71	12	74	115	237	464	190	96.002	86	69	0	1	0	4	0	0	0	0	0	0	0	0
ENSG00000004961	1940.78	3173.708	2953.998	1247.999	2746.643	2536.353	3214.07	3666.339	2817.643	2353.295	2336.718	2853.658	2073.572	1992.601	2714.519	2542.475	2646.08	3320.995	1844.093	2122.689	2481.546	452.002	601	812.336	720	462	440	761.586	521.003	1650.032	3097.862	2175.072	2448.915
ENSG00000004975	4773.544	5941.665	5562.765	4288.667	5672.424	5313.455	6428.531	8419.166	5605.579	6022.227	7674.196	5889.115	4726.083	4590	5074.453	4208.985	4863.549	4940.779	4847.163	4304.421	5611.16	1003	1210.767	1130.002	1148.446	954.262	997.515	1374.387	1021.369	6164.216	3455.521	1999.09	2153.828
ENSG00000005001	24.862	42.964	59.75	44.064	33.83	22.722	9	77.409	54.715	22.655	79.017	22.96	5.331	27.02	3	22.216	28.786	21.727	10.451	22	6.307	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005007	16391.246	14235.891	12811.277	13622.616	13534.392	12442.198	13546.083	20190.32	15092.91	11723.484	13833.434	12649.084	13289.135	13053.313	11833.402	12766.186	13447.675	13793.9	13840.465	11251.997	14683.344	2487.289	2592.67	2889.281	3122.003	2073.877	2020	3524.026	2380.636	5006.64	7771.375	5345.831	5375.259
ENSG00000005020	523	563.325	424	432	366.028	518.931	448.042	693.002	598	365.032	382.001	584	497	352	273	379.017	455	356	382	339	396	1692.078	2239.873	2947.599	2186.961	1062.247	1397.79	1782.023	2187.914	3165.364	4862.739	3343.516	1335.999
ENSG00000005022	38980.036	33874.02	24945.406	30011.223	29309.148	33256.47	37991.169	48383.935	38412.307	35109.417	28158.027	31025.311	34706.487	32718.111	29831.207	28948.986	35438.589	32719.103	28495.513	25561.228	31317.015	4433.37	7080.938	7973.087	7336.413	6517.608	5070.804	11281.966	6303.18	8917.364	10675.608	7292.903	7785.53
ENSG00000005059	1330.024	1890.984	1933.984	916	1195.75	802.031	1090.347	2089.001	1671.093	1226	1050.111	1563.999	1664.977	1447.001	1582.701	1599.098	2109.308	2107.314	1188	1403	1527.756	785.666	979.326	1222.152	1172.001	525	934.999	1168.999	857.842	2011.118	2375.769	1192	2093.658
ENSG00000005073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	1	0	2	0	1157.256	1136.067	1624.332	33
ENSG00000005075	3615.242	3560.812	3067.927	3346.912	3451.525	3387.432	3772.48	5684.129	4370.901	3893.337	3827.116	3174.143	3935.225	3396.192	3225.576	2742.611	3175.841	3262.046	2990.252	2996.541	3226.282	611.896	810.125	809.318	856.48	658.941	807.124	1095.819	722.175	2565.248	5006.717	2922.237	2937.507
ENSG00000005100	6549.415	9087.304	10364.574	5344.872	8944.375	8152.178	10814.851	16173.344	11049.801	8438.247	9906.491	12465.079	9315.184	10227.405	12183.411	9821.234	10411.147	10985.607	8841.674	9349.41	10947.424	898.337	1305.984	1412.323	1579.999	1175	1218.001	2375.675	1309.051	1281	2772	1646.527	1844.575
ENSG00000005102	7	18	14	3	5	21	1	7	17	1	15	9	2	2	1	0	2	3	1	0	0	8	23	13	20	8	21	15	44	2	0	1	0
ENSG00000005108	97	138	93	80	75	216	58	124	67	56	269	87	86	74	41	68	68.001	45	56	35	60	2	6	0	3	4	6	2	6	27	28	2	1
