L438P_1	L438P_2	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6
ENSG00000008086	349.361	647.425	191.351	245.984	305.824	392.804	357.891	74.189
ENSG00000008118	12	4	9	16	4	0	0	2
ENSG00000008128	886.701	1842.192	1137.071	1731.367	1109.881	1513.529	1188.048	1166.162
ENSG00000008130	2339.389	2619.159	2589.29	2403.418	1660.23	2103.033	2262.696	2438.285
ENSG00000008196	16	11	11	1	0	0	0	1
ENSG00000008197	0	0	0	0	0	0	0	0
ENSG00000008226	9.193	15.326	18.945	10	13.852	13.726	11.245	9.171
ENSG00000008256	782.487	1545.043	1003.303	846.005	1752.999	1342	794.468	672.999
ENSG00000008277	1211.446	1178.999	1007.553	626.03	618.001	679.392	796.17	1273.001
ENSG00000008282	1398.999	1250	1529.401	1495.006	898.818	1040.968	1611.151	1926.502
ENSG00000008283	248.066	198.513	286.878	205.076	196.924	147.316	97.369	161.989
ENSG00000008294	3172.676	2887.562	2477.443	3024.054	1712.331	2286.213	2311.938	1856.27
ENSG00000008300	174.999	204	120	238	652	187.002	166.007	254.999
ENSG00000008311	12	8	70	74	10	1115.999	148	58
ENSG00000008323	201.998	87.999	37	104.001	29	23.006	49	204.999
ENSG00000008324	524.003	631	779.557	728	652.771	798	875.637	591.332
ENSG00000008382	190.999	272.005	333	280	362	263	320.001	301.999
ENSG00000008394	579.001	647.953	619.005	1284.229	54	1280.001	1120.606	834
ENSG00000008405	107	104	196.052	417.001	147	56	448	191
ENSG00000008438	15	5	4	10	0	12.001	6	5
ENSG00000008441	22	26	112	40	34	28	65	44
ENSG00000008513	460.162	461.352	822.028	559.377	56.374	199.127	487.058	218.138
ENSG00000008516	71	156.001	119	128	32	160.001	74	44
ENSG00000008517	5715.676	8927.063	2410.618	7375.494	1045.039	6091.7	3593.63	797.471
ENSG00000008710	1827.516	1441.092	1582.274	2386.208	1697.935	1989.328	2260.068	1771.839
ENSG00000008735	10.108	8.109	21.164	25.096	22.273	12.147	15.103	20.196
ENSG00000008838	1897.337	2002.04	2215.454	2049.599	1692.899	1785.362	2645.94	2014.112
ENSG00000008853	1552.498	1509.232	2385.686	1100.999	1820.827	1429.001	1148.885	1514.917
ENSG00000008869	1395.024	1387.728	1634.161	1653	821.058	1234.653	1540.161	1473.001
ENSG00000008952	3796.234	4496.721	4684.443	5387.484	2256.205	3951.916	4719.488	3844.358
ENSG00000008988	15845.536	20686.55	21270.088	21410.114	31660.686	26995.663	23787.278	23007.443
ENSG00000009307	22655.278	17794.859	20526.346	22447.635	13589.591	15504.273	15565.419	16026.593
ENSG00000009335	2531.654	2752.44	3168.4	3145.457	1934.903	1871.077	3362.356	2702.99
ENSG00000009413	2023.058	2310.452	2569.423	2524.552	1309.81	1319.125	2342.562	2239.271
ENSG00000009694	1	4	0	3	1	3	2	4
ENSG00000009709	0	0	0	0	0	0	0	0
ENSG00000009724	143.123	124.546	128.631	208.647	285.689	227.892	162.047	161.026
ENSG00000009765	8	6	5.026	6.043	5.014	4.112	3.019	5
ENSG00000009780	195	192.395	225.41	253.847	157.204	216.999	273.959	178.588
ENSG00000009790	1684.3	3670.49	3674.321	3360.979	2096.045	3039.67	2747.229	3397.352
ENSG00000009830	244.998	317.001	319.001	314.032	360.16	238.142	423.999	385
ENSG00000009844	1265.675	1680.862	1791.108	1696.005	1026.001	1032.648	1868.569	1567.9
ENSG00000009950	5.058	9.078	6.186	8.306	13.42	10.145	12.382	8.017
ENSG00000009954	4044.31	4718.942	5273.601	5651.446	2397.312	3411.519	7049.463	4222.479
ENSG00000010017	1526.701	1487.26	1471.149	1655.942	956.877	933.84	1267.744	1227.202
ENSG00000010030	949.995	123	424.999	304	273	301	107	80
ENSG00000010072	172.225	207.466	276.171	261.208	194.995	155.854	338.101	225.366
ENSG00000010165	891.827	1019.514	1215.067	1078.004	594.196	724.999	1642.287	962.323
ENSG00000010219	302.243	383.919	490.701	525.072	277.999	346.843	413.913	391.251
ENSG00000010244	7159.615	7919.275	8964.361	9245.371	7510.793	9411.776	8867.927	7786.871
ENSG00000010256	2552.758	2791.916	2997.382	3125.128	2373.982	2491.019	3568.812	2938.161
ENSG00000010270	1174.677	1209	1398.499	1291.083	1019	1079.038	1481.228	1277
ENSG00000010278	713.977	204.219	265	393.999	36	14	60	125
ENSG00000010282	0	0	1	0	0	0	0	1
ENSG00000010292	5861.97	5894.905	7077.44	7169.836	3676.114	5233.904	10381.332	6598.311
ENSG00000010295	529.001	712.301	808.275	678.509	434	846.115	659.002	677
ENSG00000010310	659.777	1157.641	959.568	1432.033	513.474	1329.084	470.577	1173.233
ENSG00000010318	114	104	119	143.999	136	167.999	192.154	132
ENSG00000010319	0	0	0	6	3	0	4	4
ENSG00000010322	1919.694	2122.009	2043.223	2280.501	1783.062	2078.226	2279.558	1873.084
ENSG00000010327	0	1.002	1	4	4	0	2	1
ENSG00000010361	233.641	290.069	253.139	261.029	273.057	319.901	315.842	292.824
ENSG00000010379	4	2	1	2	0	4	1	4
ENSG00000010404	6691.659	4719.094	6400.556	6214.753	3438.272	3573.706	4294.526	4352.087
ENSG00000010438	1	3	3	2	1	3	1	1
ENSG00000010539	226.776	302.195	384.213	348.554	225.879	212.198	407.094	323.296
ENSG00000010610	27	61.999	25	20	14.001	3	12	14
ENSG00000010626	198.345	121.253	214.246	161.634	161.331	213.818	80.711	200.269
ENSG00000010671	3610.124	4869.074	4621.328	5016.035	3070.001	4004	4962.472	3207.112
ENSG00000010704	84.692	195.178	178.618	193.46	80.111	108.857	174.733	202.413
ENSG00000010803	879.211	1169.212	1252.099	1137.998	666.183	1165.462	1317.058	1038.517
ENSG00000010810	1495.406	1940.086	1118.676	1420.999	1031.307	451	935.177	1576.018
ENSG00000010818	2821.934	1656.005	1977.323	1781.207	574	2001.911	1006.001	1799.697
ENSG00000010932	0	0	0	0	0	0	0.906	0
ENSG00000011007	1808.319	2026.014	2021.016	2189.548	1394.578	1548.003	2202.198	1593.94
ENSG00000011009	1274.603	1599.589	1651.04	1509.557	1312.001	1376.868	1634.017	1477.438
ENSG00000011021	1301.514	1834.177	1379.961	1246.663	854.317	1664.231	1784.286	1233.322
ENSG00000011028	63	407	335	290	47.999	184.05	284.019	173
ENSG00000011052	145.159	315.441	143.622	245.47	124.07	218.331	282.043	172.679
ENSG00000011083	4	3	4	36	23	8	9	3
ENSG00000011105	10	28	35	47	154.999	16	55	44
ENSG00000011114	0	0	0	0	668.432	0	512.76	0
ENSG00000011132	773.999	786.441	808.728	902.663	484.999	785.001	593.017	638.284
ENSG00000011143	322.999	403.001	531.544	479.001	352.001	385.382	516.34	398
ENSG00000011198	279.336	467.001	468.001	416.999	237.279	201	340.698	312.042
ENSG00000011201	11	36.365	68.46	27	20.813	34	8	67.218
ENSG00000011243	1725.902	2099.882	2144.569	2203.772	1735.512	2085.41	2001.642	1991.003
ENSG00000011258	771.343	933.485	864.842	924.602	526.215	959.159	781.344	792.111
ENSG00000011260	1233.53	1303.457	1542.997	1343.999	1026.931	1057.624	1982.191	1370.002
ENSG00000011275	1737.951	2134.531	1924.196	2095.636	1586.072	1786.747	1887.326	1781.624
ENSG00000011295	679.517	908.115	1112.379	1078.501	983.763	924.885	1061.729	798.472
ENSG00000011304	6511.629	8595.137	8950.78	9677.993	7250.071	6429.497	11834.686	7755.397
ENSG00000011332	30.999	28	30	39	58	28	56	39
ENSG00000011347	0	1	3	0	7	2	0	0
ENSG00000011376	1190.206	1142.444	1390.772	1239.71	795.141	691.883	1410.499	1029.135
ENSG00000011405	2625.552	1817.025	1952.199	2338.953	898.956	1518.622	1505.096	1854.71
ENSG00000011422	167.001	111.999	229.001	236	7	45	48	14
ENSG00000011426	765	780.041	948.278	981.006	491	691.097	1423.008	830.001
ENSG00000011451	769	969.882	1079.903	1085.486	941.002	855.617	1231.59	914.538
ENSG00000011454	1379.017	1490.302	1649.19	1805.401	883	1250.396	1494.439	1460.567
ENSG00000011465	60.827	122.527	713.056	140.742	88	88	339.944	134.967
ENSG00000011478	532.58	565.796	570.218	641.111	559.48	564.453	506.609	476.945
ENSG00000011485	1241.996	1716.299	1900.487	1803.387	1534.999	1670.933	2632.212	1787.543
ENSG00000011523	456.861	548.263	687.265	454.227	400.124	793.728	553.554	583.923
ENSG00000011566	252	319	399	331	365	248.001	251.108	219
ENSG00000011590	2860.202	2239.149	1922.105	1964.032	1789.149	1763.999	2074.477	1598.999
ENSG00000011600	13	7	20	7	0	1	4	2
ENSG00000011638	307.087	607.045	664.999	374.001	222.991	216	343	475.001
ENSG00000011677	1	0	1	0	1	0	0	1
ENSG00000012048	1511.98	1635.48	1919.525	2298.906	1089.308	1193.51	3129.879	1772.984
ENSG00000012061	955.73	1045.998	1131.399	1210.677	1163.52	1220.256	1215.414	1194.57
ENSG00000012124	11604.423	14521.919	17516.87	9762.513	10369.392	19397.441	7997.83	10962.866
ENSG00000012171	25.999	18	21	45	11.011	23.05	24	10
ENSG00000012174	605.148	537.342	593.284	637.222	305.62	299.363	461.658	426
ENSG00000012211	427.627	481.063	536.08	564.611	257.45	426.108	582.146	510.08
ENSG00000012223	1	5	9	0	0	3	1	1
ENSG00000012232	714.375	670.138	858.441	789.407	489.734	503.941	725.983	790.114
ENSG00000012504	6	2	1	3	0	2	0	0
ENSG00000012660	3979.071	3821.121	4592.836	3744.02	2269.005	4113.973	4184.808	3550.859
ENSG00000012779	513.302	25.373	206.267	49.888	715.288	27.152	0	375.645
ENSG00000012817	3901.463	3246.164	2313.605	4981.03	3061.23	2911.08	2272.368	2933
ENSG00000012822	1895.545	1546.383	1664.435	2383.729	904.999	2569.466	682.407	1225.655
ENSG00000012963	1737.975	2812.309	3237.772	2666.574	1968.432	1440.187	2814.862	2122.215
ENSG00000012983	1300.744	1162.26	1239.592	1384.117	1386.978	1260.469	1240.869	1279.954
ENSG00000013016	39	104	34	122	42	186	59	175
ENSG00000013275	1442.118	2056.824	2198.846	2168.284	1739.674	1554	2370.706	1837.056
ENSG00000013288	1033.712	1172.476	1129.824	1086.545	838.92	739.081	645.584	940.652
ENSG00000013293	7.001	11	8.002	9.003	4.003	12.01	7	12.001
ENSG00000013297	20	16	99.788	18	24.517	15.714	56.138	17
ENSG00000013306	1939.793	2950.999	2894.82	3101.85	3213.206	3098.339	4446.515	2817.173
ENSG00000013364	4173.731	3407.97	4463.175	3723.836	2236.684	3207.664	2485.546	3439.964
ENSG00000013374	2017.782	1816.027	2540.246	1756.834	1228.312	1393.109	1871.104	2058.513
